Book,Range,Source
Exodus,1:1-5,R
Exodus,1:6,J
Exodus,1:7,P
Exodus,1:8-12,E
Exodus,1:13-14,P
Exodus,1:15-21,E
Exodus,1:22,J
Exodus,2:1.1-2:23.7,J
Exodus,2:23.8-2:25.99,P
Exodus,3:1,E
Exodus,3:2.1-3:4.5,J
Exodus,3:4.6-3:4.99,E
Exodus,3:5,J
Exodus,3:6,E
Exodus,3:7-8,J
Exodus,3:9-18,E
Exodus,4:1-18,E
Exodus,4:19.1-4:20.12,J
Exodus,4:20.13-4:20.99,E
Exodus,4:21.1-4:21.16,E
Exodus,4:21.17-4:21.99,R
Exodus,4:22-23,E
Exodus,4:24-26,J
Exodus,4:27-31,E
Exodus,5:1-2,J
Exodus,5:3-6:1,E
Exodus,6:2-12,P
Exodus,6:13,R
Exodus,6:14-25,P
Exodus,6:26-30,R
Exodus,7:1-9,P
Exodus,7:10-13,P
Exodus,7:14-18,E
Exodus,7:19.1-7:20.7,P
Exodus,7:20.8-7:21.13,E
Exodus,7:21.14-7:21.99,P
Exodus,7:22,P
Exodus,7:23-29,E
Exodus,8:1.1-8:3.4,P
Exodus,8:3.5-8:11.8,E
Exodus,8:11.9-8:11.99,R
Exodus,8:12-15,P
Exodus,8:16-28,E
Exodus,9:1-7,E
Exodus,9:8-12,P
Exodus,9:13-34,E
Exodus,9:35,R
Exodus,10:1-19,E
Exodus,10:20-29,E
Exodus,11:1-8,E
Exodus,11:9-10,R
Exodus,12:1-20,P
Exodus,12:21-23,E
Exodus,12:24-27,E
Exodus,12:28,P
Exodus,12:29-36,E
Exodus,12:37.1-12:37.5,R
Exodus,12:37.6-12:39.99,E
Exodus,12:40-49,P
Exodus,12:50-51,R
Exodus,13:1-16,E
Exodus,13:17-19,E
Exodus,13:20,R
Exodus,13:21-22,J
Exodus,14:1-4,P
Exodus,14:5-7,J
Exodus,14:8,P
Exodus,14:9.1-14:9.3,J
Exodus,14:9.4-14:9.99,P
Exodus,14:10.1-14:10.2,P
Exodus,14:10.3-14:10.99,J
Exodus,14:11-12,E
Exodus,14:13-14,J
Exodus,14:15-18,P
Exodus,14:19.1-14:19.9,E
Exodus,14:19.10-14:19.99,J
Exodus,14:20.1-14:20.7,E
Exodus,14:20.8-14:20.99,J
Exodus,14:21.1-14:21.6,P
Exodus,14:21.7-14:21.99,J
Exodus,14:22-23,P
Exodus,14:24,J
Exodus,14:25.1-14:25.6,E
Exodus,14:25.7-14:25.99,J
Exodus,14:26.1-14:27.6,P
Exodus,14:27.7-14:27.99,J
Exodus,14:28-29,P
Exodus,14:30-31,J
Exodus,15:1-18,J
Exodus,15:19,R
Exodus,15:20-21,E
Exodus,15:22.1-15:22.10,R
Exodus,15:22.11-15:25.11,J
Exodus,15:25.12-15:26.99,E
Exodus,15:27,R
Exodus,16:1,R
Exodus,16:2-3,P
Exodus,16:4-5,J
Exodus,16:6.1-16:35.12,P
Exodus,16:35.13-16:35.99,J
Exodus,16:36,P
Exodus,17:1,P
Exodus,17:2-7,E
Exodus,17:8-16,E
Exodus,18:1-27,E
Exodus,19:1,P
Exodus,19:2.1-19:2.7,R
Exodus,19:2.8-19:9.99,E
Exodus,19:10-15,P
Exodus,19:16-17,E
Exodus,19:18-25,E
Exodus,20:1-17,P
Exodus,20:18-26,E
Exodus,21:1-36,E
Exodus,22:1-30,E
Exodus,23:1-33,E
Exodus,24:1.1-24:15.5,E
Exodus,24:15.6-24:18.5,P
Exodus,24:18.6-24:18.99,E
Exodus,25:1-31:11,P
Exodus,31:12-17,P
Exodus,31:18,P
Exodus,32:1-33:11,E
Exodus,33:12-23,E
Exodus,34:1-35,E
Exodus,35:1-40:38,P